dataset,query_id,observation_count,ndcg@10_delta,mrr@10_delta
arguana,test-culture-ahrtsdlgra-pro01a,3,-0.04621562795107129,-0.055555555555555546
arguana,test-culture-ahrtsdlgra-pro02a,3,0.0,0.0
arguana,test-culture-ascidfakhba-con01a,3,0.0,0.0
arguana,test-culture-ascidfakhba-pro01a,3,0.06932344192660694,0.08333333333333331
arguana,test-culture-cgeeghwmeo-con01a,3,0.0,0.0
arguana,test-culture-cgeeghwmeo-con04a,3,0.007624617924896289,0.007936507936507936
arguana,test-culture-cgeeghwmeo-pro01a,6,-0.03943104060140743,-0.044444444444444446
arguana,test-culture-mmciahbans-pro01a,6,0.0,0.0
arguana,test-culture-mmctghwbsa-con03a,3,-0.2210776970802699,-0.09391534391534391
arguana,test-culture-mmctyshwbcp-con01a,3,0.0,0.0
arguana,test-culture-mmctyshwbcp-pro01a,3,0.0,0.0
arguana,test-culture-mmctyshwbcp-pro02a,3,0.0,0.0
arguana,test-culture-mmctyshwbcp-pro05a,6,0.13092975357145753,0.16666666666666669
arguana,test-culture-mmctyshwbcp-pro06a,3,0.030645620126519446,0.033333333333333354
arguana,test-culture-mthbah-con01a,3,0.0,0.0
arguana,test-culture-mthbah-con03a,3,0.010215206708839816,0.011111111111111118
arguana,test-culture-mthbah-pro03a,6,0.0,0.0
arguana,test-culture-thbcsbptwhht-con02a,3,0.0,0.0
arguana,test-culture-thbcsbptwhht-pro01a,6,-0.04382375083885143,-0.04999999999999999
arguana,test-culture-thbcsbptwhht-pro02a,6,0.0,0.0
arguana,test-culture-thbcsbptwhht-pro03a,3,0.07543146184363891,0.08888888888888886
arguana,test-culture-tlhrilsfhwr-con01a,3,0.0,0.0
arguana,test-culture-tlhrilsfhwr-con02a,3,-0.20025319549806447,-0.25
arguana,test-digital-freedoms-aihbiahr-con02a,3,-0.03230333766935212,-0.031746031746031744
arguana,test-digital-freedoms-aihbiahr-pro01a,6,-0.08393135887289076,-0.09999999999999998
arguana,test-digital-freedoms-dfiphbgs-con03a,3,-0.011965169346093318,-0.0111111111111111
arguana,test-digital-freedoms-dfiphbgs-pro01a,3,-0.04382375083885143,-0.04999999999999999
arguana,test-digital-freedoms-dfiphbgs-pro02a,3,-0.31546487678572877,-0.125
arguana,test-digital-freedoms-dfiphbgs-pro03a,3,-0.04382375083885143,-0.04999999999999999
arguana,test-digital-freedoms-efsappgdfp-con02a,3,0.0,0.0
